Date,Open,High,Low,Close,Adj Close,Volume
2012-07-23,6.820000,6.930000,6.770000,6.880000,5.426415,265100
2012-07-24,6.880000,6.910000,6.790000,6.820000,5.379091,221900
2012-07-25,6.810000,6.880000,6.730000,6.740000,5.315993,298600
2012-07-26,6.760000,6.870000,6.670000,6.830000,5.386978,175900
2012-07-27,6.810000,6.860000,6.780000,6.810000,5.371203,235000
2012-07-30,6.810000,6.810000,6.650000,6.680000,5.268670,190500
2012-07-31,6.700000,6.700000,6.580000,6.600000,5.205571,198800
2012-08-01,6.590000,6.690000,6.580000,6.670000,5.260782,301500
2012-08-02,6.670000,6.810000,6.590000,6.730000,5.308106,275000
2012-08-03,6.750000,6.750000,6.650000,6.740000,5.315993,128900
2012-08-07,6.740000,6.790000,6.650000,6.650000,5.245009,126300
2012-08-08,6.680000,6.690000,6.610000,6.630000,5.229233,99000
2012-08-09,6.640000,6.640000,6.570000,6.640000,5.237121,229100
2012-08-10,6.750000,6.750000,6.680000,6.700000,5.284444,221200
2012-08-13,6.770000,6.780000,6.680000,6.690000,5.276556,314500
2012-08-14,6.710000,6.740000,6.650000,6.660000,5.252896,322300
2012-08-15,6.700000,6.700000,6.520000,6.570000,5.181910,270500
2012-08-16,6.600000,6.690000,6.570000,6.640000,5.237121,270900
2012-08-17,6.620000,6.790000,6.620000,6.730000,5.308106,205500
2012-08-20,6.750000,6.750000,6.580000,6.590000,5.197684,251400
2012-08-21,6.600000,6.720000,6.600000,6.720000,5.300218,137300
2012-08-22,6.720000,6.780000,6.680000,6.760000,5.331768,133700
2012-08-23,6.800000,6.830000,6.740000,6.800000,5.363317,200600
2012-08-24,6.810000,6.850000,6.780000,6.830000,5.386978,95000
2012-08-27,6.830000,6.850000,6.750000,6.840000,5.394866,131600
2012-08-28,6.800000,6.800000,6.680000,6.710000,5.292332,243800
2012-08-29,6.710000,6.730000,6.660000,6.680000,5.268670,505100
2012-08-30,6.700000,6.700000,6.650000,6.660000,5.252896,232700
2012-08-31,6.660000,6.710000,6.630000,6.660000,5.252896,203600
2012-09-04,6.660000,6.680000,6.600000,6.640000,5.237121,110300
2012-09-05,6.650000,6.700000,6.630000,6.650000,5.245009,94300
2012-09-06,6.640000,6.680000,6.580000,6.640000,5.237121,419500
2012-09-07,6.680000,6.700000,6.620000,6.630000,5.229233,128600
2012-09-10,6.650000,6.680000,6.610000,6.640000,5.237121,145500
2012-09-11,6.650000,6.690000,6.610000,6.690000,5.276556,212700
2012-09-12,6.680000,6.690000,6.640000,6.690000,5.276556,133000
2012-09-13,6.690000,6.690000,6.610000,6.620000,5.221347,203700
2012-09-14,6.660000,6.660000,6.610000,6.620000,5.221347,393500
2012-09-17,6.640000,6.640000,6.610000,6.610000,5.213461,258000
2012-09-18,6.630000,6.630000,6.550000,6.560000,5.174023,204900
2012-09-19,6.600000,6.640000,6.540000,6.640000,5.237121,4097000
2012-09-20,6.650000,6.700000,6.610000,6.670000,5.260782,379800
2012-09-21,6.680000,6.680000,6.410000,6.470000,5.103037,2453700
2012-09-24,6.520000,6.620000,6.480000,6.580000,5.189798,376400
2012-09-25,6.600000,6.630000,6.560000,6.580000,5.189798,532000
2012-09-26,6.550000,6.680000,6.510000,6.560000,5.235691,696300
2012-09-27,6.600000,6.600000,6.540000,6.560000,5.235691,254600
2012-09-28,6.570000,6.680000,6.560000,6.670000,5.323483,284600
2012-10-01,6.650000,6.740000,6.640000,6.740000,5.379352,185300
2012-10-02,6.740000,6.740000,6.610000,6.640000,5.299540,319100
2012-10-03,6.650000,6.780000,6.650000,6.750000,5.387333,378300
2012-10-04,6.800000,6.800000,6.710000,6.740000,5.379352,148900
